"COMPLEX_CATEGORY","COMPLEX_NAME","FACILITY_TYPE","FACILITY_NAME","TIER","ADDRESS","TYP_OF_ORG","ORG","STEWARD","OPER","LABEL","WEBSITE","PHONE","NOTES","ACTIVE_LIVING_PROGRAM","GYM","GYMNAST_FAC","FITNSS_WGHT","FIT_STUDIO","MULTI_PURP_ROOMS","MEET_ROOMS","INDR_POOL","OUTDR_POOL","FW_25M","FW_50M","FW_18M","LANES_POOL","TEACH_POOL","WAVE_POOL","OTHER_POOL","INDR_WAD_POOL","DIVING_TANK","SPRINGBOARD","PLATFORM","DIVE_SLIDE","PLAY_SLIDE","ROPE_SWING","STEAM","HOT_TUB","SAUNA","CLIMB_WALL","TRACK_INDR","OUTDR_WAD_POOL","SPRAY_PARK","ICE_INDR","STAND_ICE","NHL_ICE","OLYMP_ICE","FIG_SKATING","CURL_RNK","CURL_SHEETS","INDR_SURFACE","INDR_TURF","DRY_PAD","RACQFAC_INDR","SQUASH_CRTS","RAQBALL_CRTS","BADMINT_CRTS","TENNIS_CRT","OUTDR_FIELD","ARTF_TURF_OUTDR","DIAM_FAC_OUTDR","TRACK_OUTDR","PUBLIC_GLF","SEMI_PRIV_GLF","HOLE_18","HOLE_9","DRIVERANG_OUTDR","DRIVERANG_INDR","SKI_NORDICTRCK","MUNICPAL_OP","NOTPROFIT_OP","PROFIT_OP","PRIVATE_OP","POINT"
,"Carrington Skatepark","Skate Park",,,"37 CARRINGTON PZ NW","Municipal","Parks","Parks","Parks","Carrington Skatepark","https://www.calgary.ca/rec-locations/skate-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0940119 51.1818643)"
"Arenas (except Leisure Centre arenas)","Ernie Starr Arena","Arena","Ice",,"4808 14 AV SE","Municipal","Recreation","Recreation","Recreation","Ernie Starr Arena","https://www.calgary.ca/rec-locations/arenas/ernie-starr.html","311","185' x 85' ice rink with 300 seat capacity","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9649419 51.0413756)"
"Golf Courses","Shaganappi Point Golf Course","Golf Course - Municipal","18 Hole Course",,"1200 26 ST SW","Municipal","Parks","Recreation","Parks","Shaganappi Point Golf Course","https://www.calgary.ca/rec-locations/golf/shaganappi-point.html","403-300-1007","18 hole, 9 hole, putting green","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","Y","N","Y","Y","Y","N","Y","Y","N","N","N","POINT (-114.1247929 51.0455075)"
,"Brentwood Sportsplex","Arena",,,"1520B NORTHMOUNT DR NW","Not-for-Profit","CA","Recreation","Brentwood CA","Brentwood Sportsplex","https://www.brentwoodcommunity.com/","403-284-3477","Ice rink, meeting room, banquet hall","N","0","N","N","0","0","1","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","0","1","0","N","N","0","Y","0","1","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.1378257 51.0975122)"
"Athletic Parks","Glenmore Athletic Park","Athletic Park",,,"5300 19 ST SW","Municipal","Recreation","Water Resources","Recreation","Glenmore Athletic Park","https://www.calgary.ca/rec-locations/athletic-parks/glenmore.html","311","One soccer field, four flag football/one soccer field, one touch football field, 400m track & field, three baseball/softball diamonds and seven tennis courts","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","Y","0","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1026915 51.0074053)"
,"Westside Recreation Centre","Leisure Centre",,,"2000 69 ST SW","Not-for-Profit","Westside Rec.","Recreation","Westside Regional Recreation Society","Westside Recreation Centre","https://www.westsiderec.com/","403-531-5875","Ice rink, waterslide, lazy river, tot pool, slide, climbing wall, fitness/weights, fitness studio, track, 2 gyms, hot tub, water slide, steam room and wave pool","Y","3","N","Y","5","0","0","Y","N","1","0","0","4","N","Y","N","Y","N","N","N","0","1","N","Y","Y","N","Y","Y","N","N","Y","0","1","0","N","N","0","N","0","0","N","0","0","2","0","Y","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.1855798 51.0357201)"
,"Crowfoot Arena","Arena",,,"8080 JOHN LAURIE BV NW","Not-for-Profit","CMHA","Parks","Crowfoot Minor Hockey Assoc.","Crowfoot Arena",,"403-241-1818","Ice rink","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","Y","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-114.1950698 51.1285576)"
"Aquatic & Fitness Centres","Foothills Aquatic Centre","Aquatic & Fitness Centre",,"1","2424 UNIVERSITY DR NW","Municipal","Recreation","Recreation","Recreation","Foothills Aquatic Centre","https://www.calgary.ca/rec-locations/pools/foothills.html","311","Six-lane, 25m pool, dive pool with 1.5m slide and wading pool","Y","0","N","N","0","0","0","Y","N","1","0","0","6","N","N","N","Y","Y","N","N","1","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.1254572 51.0741065)"
,"Valleyview Spray Park","Spray Park",,,"28 ST SE & 30 AV SE","Municipal","Parks","Parks","Parks","Valleyview Spray Park","https://www.calgary.ca/parks/activities/outdoor-pools-spray-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","Y","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-113.9940324 51.0265129)"
,"Genesis Centre Artificial Turf","Artificial Turf",,,"7556 FALCONRIDGE BV NE","Not-for-Profit","Genesis","Recreation","North East Centre of Community Society","Genesis Centre Artificial Turf","https://genesis-centre.ca/","403-590-2833","106m x 86m main field; 86m x 47.5m cross fields","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","1","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-113.9508216 51.1195381)"
,"Prairie Winds Park Wading Pool & Spray Park","Outdoor Wading Pool",,,"223 CASTLERIDGE BV NE","Municipal","Parks","Parks","Parks","Prairie Winds Park Wading Pool & Spray Park","https://www.calgary.ca/parks/activities/outdoor-pools-spray-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","Y","Y","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","Y","N","N","POINT (-113.9711616 51.1037818)"
,"Brookfield Residential YMCA at Seton","Leisure Centre",,,"4995 MARKET ST SE","Not-for-Profit","YMCA","Recreation","YMCA Calgary","Brookfield Residential YMCA at Seton","https://www.ymcacalgary.org/locations/brookfield-residential-ymca-seton","403-351-5262","50m pool, diving, water park, leisure pool, 2 ice rinks, 3 gyms, fitness centre, fitness/aerobics studios, 200m track","Y","3","N","Y","1","1","1","Y","N","0","1","0","10","N","N","Y","N","N","N","Y","0","0","N","Y","Y","N","N","Y","N","N","Y","0","2","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","N","Y","N","N","POINT (-113.9457802 50.8796449)"
,"N.E. Community Skatepark","Skate Park",,,"7556 FALCONRIDGE BV NE","Municipal","Parks","Recreation","Parks","N.E. Community Skatepark","https://www.calgary.ca/rec-locations/skate-parks.html","311",,"N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-113.9481396 51.1193116)"
"Arenas (except Leisure Centre arenas)","Stew Hendry and Henry Viney Arenas","Arena","Ice",,"810 13 AV NE","Municipal","Recreation","Recreation","Recreation","Henry Viney Arena","https://www.calgary.ca/rec-locations/arenas/henry-viney.html","311","185' x 85' ice rink with 400 seat capacity","N","0","N","N","0","0","1","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","Y","1","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","N","N","N","N","N","N","N","Y","N","N","N","POINT (-114.0454135 51.0653885)"
"Golf Courses","Confederation Park Golf Course","Golf Course - Municipal","Golf Course",,"3204 COLLINGWOOD DR NW","Municipal","Parks","Recreation","Parks","Confederation Park Golf Course","https://www.calgary.ca/rec-locations/golf/confederation-park.html","403-300-1002","9 hole, driving range","N","0","N","N","0","0","0","N","N","0","0","0","0","N","N","N","N","N","N","N","0","0","N","N","N","N","N","N","N","N","N","0","0","0","N","N","0","N","0","0","N","0","0","0","0","N","0","N","N","Y","N","N","Y","Y","N","Y","Y","N","N","N","POINT (-114.1017092 51.0791158)"
