COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Carrington Skatepark,Skate Park,37 CARRINGTON PZ NW,Municipal,Parks,Parks,Parks,Carrington,NORTH,3112.0,2803.0,2.0,16.3,168.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7812.0,3078.0,2.54,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8438.0,2974.0,2.84,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8252.0,2868.0,2.88,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8814.0,2828.0,3.12,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7870.0,2895.0,2.72,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7857.0,3099.0,2.54,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8153.0,2082.0,3.92,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8012.0,2006.0,3.99,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8950.0,2745.0,3.26,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8260.0,3038.0,2.72,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8232.0,2899.0,2.84,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8344.0,3027.0,2.76,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7597.0,2955.0,2.57,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8728.0,2755.0,3.17,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7269.0,2913.0,2.5,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8446.0,2956.0,2.86,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8477.0,2527.0,3.35,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8432.0,3014.0,2.8,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7838.0,1880.0,4.17,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7656.0,1806.0,4.24,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8534.0,2898.0,2.94,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8242.0,2976.0,2.77,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8035.0,2165.0,3.71,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8037.0,3146.0,2.55,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7676.0,3069.0,2.5,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8179.0,3116.0,2.62,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7535.0,2872.0,2.62,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8238.0,2941.0,2.8,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8970.0,2897.0,3.1,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8126.0,2128.0,3.82,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7313.0,2964.0,2.47,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7772.0,3009.0,2.58,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8374.0,2957.0,2.83,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7882.0,2774.0,2.84,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8002.0,2996.0,2.67,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8193.0,3068.0,2.67,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7857.0,3092.0,2.54,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8064.0,2912.0,2.77,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7487.0,3046.0,2.46,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7711.0,2991.0,2.58,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7872.0,3060.0,2.57,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8171.0,2923.0,2.8,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7912.0,2985.0,2.65,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8070.0,1968.0,4.1,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7807.0,2249.0,3.47,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,8185.0,2945.0,2.78,2.1,3565.0
Ernie Starr Arena,Arena,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,7934.0,2897.0,2.74,2.1,3565.0
