POINT,COMMUNITY,SECTOR
POINT (-114.0940119 51.1818643),CARRINGTON,NORTH
POINT (-113.9649419 51.0413756),FOREST LAWN,EAST
POINT (-114.1247929 51.0455075),SHAGANAPPI,CENTRE
POINT (-114.1378257 51.0975122),BRENTWOOD,NORTHWEST
POINT (-114.1026915 51.0074053),GLENMORE PARK,SOUTH
POINT (-114.1855798 51.0357201),SIGNAL HILL,WEST
POINT (-114.1950698 51.1285576),ARBOUR LAKE,NORTHWEST
POINT (-114.1254572 51.0741065),UNIVERSITY OF CALGARY,NORTHWEST
POINT (-113.9940324 51.0265129),DOVER,EAST
POINT (-113.9508216 51.1195381),MARTINDALE,NORTHEAST
POINT (-113.9711616 51.1037818),WESTWINDS,NORTHEAST
POINT (-113.9457802 50.8796449),SETON,SOUTHEAST
POINT (-113.9481396 51.1193116),MARTINDALE,NORTHEAST
POINT (-114.0454135 51.0653885),RENFREW,CENTRE
POINT (-114.1017092 51.0791158),COLLINGWOOD,NORTHWEST
POINT (-114.1255878 51.0734361),UNIVERSITY OF CALGARY,NORTHWEST
POINT (-114.0839288 50.9873662),KELVIN GROVE,SOUTH
POINT (-114.107835 50.9638601),PALLISER,SOUTH
POINT (-114.1054257 51.0062417),GLENMORE PARK,SOUTH
POINT (-114.1037498 51.0063937),GLENMORE PARK,SOUTH
POINT (-113.94786 51.1203202),MARTINDALE,NORTHEAST
POINT (-114.032994 50.9523092),MAPLE RIDGE,SOUTH
POINT (-114.1921601 51.03643),SPRINGBANK HILL,WEST
POINT (-113.9639755 51.0413049),FOREST LAWN,EAST
POINT (-114.1615617 51.033288),GLENDALE,WEST
POINT (-114.0589608 50.9522528),WILLOW PARK,SOUTH
POINT (-114.1601394 51.032302),GLENDALE,WEST
POINT (-114.0652341 50.9730512),ACADIA,SOUTH
POINT (-114.0601721 50.9734842),ACADIA,SOUTH
POINT (-114.1241849 51.073274),UNIVERSITY OF CALGARY,NORTHWEST
POINT (-114.0755791 51.0728712),MOUNT PLEASANT,CENTRE
POINT (-114.006106 50.9617539),DOUGLASDALE/GLEN,SOUTHEAST
POINT (-114.0891878 51.0588614),HILLHURST,CENTRE
POINT (-114.1263475 51.0737779),UNIVERSITY OF CALGARY,NORTHWEST
