COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
,Carrington Skatepark,Skate Park,,37 CARRINGTON PZ NW,Municipal,Parks,Parks,Parks,Carrington,NORTH,,,,16.3,168
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,812","3,078",2.54,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,438","2,974",2.84,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,252","2,868",2.88,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,814","2,828",3.12,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,870","2,895",2.72,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,857","3,099",2.54,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,153","2,082",3.92,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,012","2,006",3.99,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,950","2,745",3.26,2.1,"3,565"
